text,aspect,sentiment
tempat_tidur nyaman mandi air_hangat,kamar,positif
harga online lebih_murah,harga,positif
sarapan banyak variasi menu masakan jawa pecel soto lauk,sarapan,positif
saran tambah roti kue tradisional jogja,sarapan,negatif
hotel bintang_empat tergolong murah,harga,positif
maintenance hotel baik,fasilitas,positif
air kolam_renang hijau kotor,fasilitas,negatif
furniture kamar tua beberapa berlubang,kamar,negatif
pelayanan tidak_memuaskan,pelayanan,negatif
harga murah hotel baik,harga,positif
bukan_daerah macet,lokasi,positif
enak,sarapan,positif
staff bagian depan baik responsif,pelayanan,positif
lama menungu refill makanan,pelayanan,negatif
checkin memuaskan,pelayanan,positif
gratis parkir,harga,positif
secara harga hotel serupa lebih_murah dibanding hotel terbaik kelasnya,harga,negatif
minta kasur bilang penuh padahal hotel sepi,pelayanan,negatif
dekat tempat bersejarah dekat stasiun,lokasi,positif
respon ditelepon cepat tanggap,pelayanan,positif
kamar_mandi bersih ada air_hangat,kamar,positif
cincin ketinggalan ternyata disimpan pihak hotel aman,pelayanan,positif
shower kecil tidak_panas,kamar,negatif
parkir basement cukup sempit,fasilitas,negatif
nyaman kasur,kamar,positif
ruangan kamar bagus nuansa klasik eropa,kamar,positif
harga segitu,harga,positif
interior kamar banyak lampu mati,kamar,negatif
fasilitas hotel jauh dibayangkan,fasilitas,negatif
karpet kotor debu tebal,kamar,negatif
pelayanan keramahan staff baik,pelayanan,positif
lokasi dekat pusat keramaian,lokasi,positif
tarif tidak_ekonomis,harga,negatif
tea_maker harus sewa,harga,negatif
harga terbilang murah adanya potongan,harga,positif
resepsionis pria tidak_ramah,pelayanan,negatif
dekat pom_bensin atm superindo alfa indomart apotik pasar_tradisional,lokasi,positif
sesuai harga dapat sarapan,harga,positif
pengelola ramah baik,pelayanan,positif
menunggu refill makanan lama,pelayanan,negatif
hotel tidak_ada tangga jalan koper,fasilitas,negatif
handuk tidak_ada,kamar,negatif
suka kolam_renang air_hangat,fasilitas,positif
eskrim ada sarapan,sarapan,positif
tembok toilet keluar air tembok,kamar,negatif
resepsionis menjawab cek nyatanya tidak_cek,pelayanan,negatif
alat gym perlu perbaikan peremajaan,fasilitas,negatif
lokasi langsung dapat dicapai mudah menggunaakn waze,lokasi,positif
staff tidak_ramah tidak_paham sop,pelayanan,negatif
kapasitas lift kecil,fasilitas,negatif
ada informasi city tour bantu,pelayanan,positif
laundry murah,harga,positif
lokasi dekat destinasi favorit,lokasi,positif
harga tidak_ramah_kantong mahal,harga,negatif
handuk gelas steril dibungkus plastik,kamar,positif
makanan enak nasi rames bubur_ayam omelet buah puding roti,sarapan,positif
kamar_mandi lapang,kamar,positif
makanan sedikit cepat habis,sarapan,negatif
harga sewa unit kamar mahal,harga,negatif
lobi disuguhkan suara gamelan,fasilitas,positif
hotel tidak_seperti digambar dalam foto,fasilitas,negatif
makanan hotel acungi top,sarapan,positif
hotel gelap seram,fasilitas,negatif
kolam_renang kecil tidak_memiliki pemandangan bagus,fasilitas,positif
ada sofa meja kerja tv mini bar,kamar,positif
cocok istirahat santai tenang,lokasi,positif
sky bar cenderung sepi,fasilitas,positif
lorong bau rokok,fasilitas,negatif
jendela kamar rusak tidak_bisa dibuka,kamar,negatif
staff tanggap,pelayanan,positif
spaghetti jam delapan habis tidak_refill,pelayanan,negatif
hotel tidak_sesuai harga,harga,negatif
kamar hotel bagus nuansa jawa,kamar,positif
ada kulkas ac tv brankas hair_dryer,kamar,positif
ada grab wheel,fasilitas,positif
makanan tidak_enak,sarapan,negatif
memperlakukan tindakkan pengusiran layaknya mengusir binatang cara mendorong,pelayanan,negatif
menu monoton,sarapan,negatif
lokasi sulit ditemukan,lokasi,negatif
harga tidak_termasuk amenities alat_mandi air_mineral,harga,negatif
makanan sarapan tidak_gambar tidak_bumbu hambar,sarapan,negatif
bayar harga parkir harian,harga,negatif
kolam_renang bau kaporit,fasilitas,negatif
air_panas dingin berfungsi baik,kamar,positif
kolam_renang area asri rimbun,fasilitas,positif
bisa minta pemandangan gunung,pelayanan,positif
pemandangan indah,lokasi,positif
kolam_renang tutup,fasilitas,negatif
akses kota jauh,lokasi,negatif
air kamar_mandi kuning,kamar,negatif
wifi tidak_gratis harus bayar,harga,negatif
lorong hotel ada sisa piring tidak_dibersihkan,pelayanan,negatif
masuk lobi suasana megah mewah kental wangi tradisional,fasilitas,positif
tidak_enak pelayanan,pelayanan,negatif
satpam tidak_berpikir kreatif tidak_pintar tidak_mengatur bijak,pelayanan,negatif
sarapan banyak enak,sarapan,positif
lokasi strategis dekat pom_bensin dekat jalan_utama dekat tempat_wisata jogja,lokasi,positif
makanan enak banyak pilihan indian_food siomay jepang,sarapan,positif
setiap kamar ada pembuat kopi,kamar,positif
lokasi terpencil,lokasi,negatif
lokasi rawan macet cukup parah,lokasi,negatif
dessert enak,sarapan,positif
menu tidak_ada jus,sarapan,negatif
harga hanya seratus_ribu,harga,positif
kebersihan kamar baik,kamar,positif
sarapan tidak_ada pilihan kemanisan,sarapan,negatif
penerima tamu perlu belajar tata_krama,pelayanan,negatif
suasana rumahan ada taman kolam_ikan pohon,fasilitas,positif
lantai kamar kuno tidak_ada karpet,kamar,negatif
harga terjangkau,harga,positif
lokasi tepat setelah pintu masuk arah kampung daun,lokasi,positif
parkir luas aman dua_empat_jam,fasilitas,positif
fasilitas kamar lengkap mulai bathtub hair_dryer brankas kulkas lemari heater sandal handuk,kamar,positif
tempat istirahat nyaman backpacker,harga,positif
layanan telepon cepat,pelayanan,positif
banyak hotel bintang_lima harga lebih_murah,harga,negatif
kecewa awal checkin tidak_sesuai pesanan,pelayanan,negatif
ada swalayan besar berjarak lima menit jalan_kaki,lokasi,positif
lorong kamar gelap,kamar,negatif
sesi foto kawasan hotel bayar tujuh_ratus_ribu,harga,negatif
ac kamar enak dingin desain kamar unik,kamar,positif
proses refill makanan lambat,pelayanan,negatif
tambah papan petunjuk jalan,fasilitas,negatif
shower rusak toilet kotor ada bercak darah,kamar,negatif
makanan perlu variasi,sarapan,negatif
staff bersahabat membantu,pelayanan,positif
tempat strategis,lokasi,positif
letak hotel jauh malioboro,lokasi,negatif
hotel luar tampak kecil,fasilitas,negatif
sarapan ambil sepuasnya,sarapan,positif
kamar kedap_suara,kamar,positif
hotel pelayanan buruk,pelayanan,negatif
sajian melimpah western tradisional,sarapan,positif
nyaman relaks jauh bising,lokasi,positif
tempat bermain anak memadai,fasilitas,positif
parkir harus diperluas,fasilitas,negatif
kamar luas ukuran hotel desain unik,kamar,positif
menu variatif setiap_hari ganti,sarapan,positif
iklan traveloka murah,harga,positif
bayar lima_ribu web bandara shuttle,harga,negatif
banyak wallpaper kamar terkelupas,kamar,negatif
harga terjangkau termasuk sarapan,harga,positif
tempat_parkir banyak,fasilitas,positif
perabotan kamar perlu diperbarui,kamar,negatif
ada lapangan golf luas,fasilitas,positif
kamar_mandi berkarat berlumut,kamar,negatif
kolam_renang kecil,fasilitas,negatif
ada tambahan_biaya,harga,negatif
harga turun,harga,positif
telepon meja mati,kamar,negatif
pelayanan ramah luar_biasa,pelayanan,positif
hotel murah,harga,positif
kamar ada tempat jemur pakaian balkon,kamar,positif
overprice fasilitas seperti itu,harga,negatif
variasi termasuk minuman jamu disukai orang tua,sarapan,positif
suasana sekitar nyaman,lokasi,positif
bantal bau,kamar,negatif
hotel pelayanan tidak_pelatihan,pelayanan,negatif
lokasi jauh jalan_raya banyak anak tangga sebelum sampai hotel,lokasi,negatif
harga mahal overprice,harga,negatif
lobi panas ac tidak_terasa kamar_mandi umum panas,kamar,negatif
disediakan menu makanan sehat,sarapan,positif
harga bayar langsung lebih_murah,harga,positif
memiliki mesin kopi dolce gusto,sarapan,positif
sayang sarapan harus bayar,harga,negatif
booking via promo murah,harga,positif
lokasi sulit dijangkau masuk dalam komplek perumahan jalan rusak,lokasi,negatif
pelayanan staff reto sarapan lambat refill makanan minuman habis,pelayanan,negatif
lift bau apek,fasilitas,negatif
harga parkir dibebankan customer,harga,negatif
begitu mandi air keruh,kamar,negatif
harga sesuai,harga,positif
ada diskon khusus tamu,harga,positif
jalan lokasi sulit,lokasi,negatif
harga tidak_sesuai promo,harga,negatif
lantai kena tinta harus bayar denda,harga,negatif
nasi sushi lembek tidak_enak,sarapan,negatif
halaman depan tidak_nyaman parkir,fasilitas,negatif
kasur bantal empuk,kamar,positif
tempat tersembunyi sulit dicari,lokasi,negatif
berkesan hotel pelayanan terutama pelayanan resto,pelayanan,positif
konsep keren jawa modern,fasilitas,positif
harga bawah standar,harga,positif
mahal dibandingkan fasilitas minim didapatkan,harga,negatif
asik makanan enak,sarapan,positif
sarapan tidak_enak,sarapan,negatif
hotel besar konsep resort,fasilitas,positif
sesuai kantong,harga,positif
banyak semut kamar banyak makanan meja,kamar,negatif
letak cukup jauh masuk dalam gang sempit,lokasi,negatif
hotel bagus nyaman suka kolam_renang bagus,fasilitas,positif
fasilitas minim pintu ditempel stiker jaminan bank,fasilitas,negatif
mie laksa tidak_sesuai standar,sarapan,negatif
tidak_ada arah petunjuk jalan,fasilitas,negatif
nuansa bali,fasilitas,positif
sarapan juara,sarapan,positif
tombol lift tidak_berfungsi,fasilitas,negatif
menarik harga murah,harga,positif
alat_makan kotor,sarapan,negatif
kopi teh pop mie gratis,harga,positif
sarapan sedikit variasi,sarapan,negatif
tempat terletak agak jauh ubud_center,lokasi,negatif
banyak kotoran binatang bawah tempat_tidur,kamar,negatif
tengkleng kuah tidak_panas tidak_segar,sarapan,negatif
pelayanan peduli,pelayanan,positif
hotel agak masuk tidak_ada papan petunjuk jelas,lokasi,negatif
dekat area masjid alun_alun bandung lokasi strategis,lokasi,positif
fasilitas hotel secara umum baik,fasilitas,positif
harga murah kelasnya,harga,positif
pelayanan ramah menerapkan prokes ketat,pelayanan,positif
gratis andong keliling,harga,positif
dari bandara soeta jalan putar hotel jauh,lokasi,negatif
ada gratis snack,harga,positif
staff hotel ramah bantu,pelayanan,positif
makanan bersih,sarapan,positif
sky bar kolam_renang area publik instagrammable,fasilitas,positif
menu sarapan tidak_memuaskan,sarapan,negatif
meminjam mukena diantar cepat,pelayanan,positif
kamar ada fasilitas mini_dapur microwave kulkas kompor_listrik komplit,kamar,positif
pelayanan cepat ramah baik,pelayanan,positif
sayuran hanya ada buncis pedas tidak_ada brokoli,sarapan,negatif
ada staff tiba_tiba masuk,pelayanan,negatif
pelayanan baik cepat tanggap,pelayanan,positif
toilet hotel tempat driver kotor menjijikan,fasilitas,negatif
tekanan shower lambat,kamar,negatif
anggaran minimalis,harga,positif
hotel memakai protokol keamanan baik,fasilitas,positif
deket masjid fenomenal masjid jogokarian,lokasi,positif
satpam pilih kasih naik mobil tidak_dipersika naik motor butut diperiksa tidak_perlu pilih kasih,pelayanan,negatif
pas termasuk murah termasuk sarapan,harga,positif
makanan bawa anak ada tambahan_biaya,harga,negatif
terletak pinggir sungai jauh kemana_mana,lokasi,negatif
ketinggalan barang ada telepon,pelayanan,positif
kamar bersih ac dingin,kamar,positif
staff baik meminjamkan tikar,pelayanan,positif
sarung bantal bau,kamar,negatif
desain interior hotel minimalis instagrammable,fasilitas,positif
menu sarapan seadanya,sarapan,negatif
sarapan variasi pilihan makanan indonesia,sarapan,positif
pancuran kamar_mandi perlu diperbaiki,kamar,negatif
dekat tugu jogja,lokasi,positif
staff cepat cekatan,pelayanan,positif
lokasi pinggir_jalan,lokasi,positif
pemandangan memanjakan mata,lokasi,positif
kebersihan kamar kamar_mandi diperhatikan,kamar,positif
proses checkin lama setengah jam,pelayanan,negatif
kamar_mandi lucu,kamar,positif
jalan area parkir belokan tajam sempit,fasilitas,negatif
tidak_sangka menu makanan enak,sarapan,positif
hijau terawat pohon pohon beringin tua kokoh berdiri,fasilitas,positif
upgrade bayar seratus_lima_puluh_ribu tidak_sesuai,harga,negatif
makanan enak,sarapan,positif
lokasi sedikit jauh pusat_kota,lokasi,negatif
wastafel mampet,kamar,negatif
kecoa bermunculan naik meja samping,kamar,negatif
tempat_sampah ada satu kamar_mandi,kamar,negatif
sarapan menemukan semut roti kue,sarapan,negatif
air_mineral alat_mandi harus bayar tidak_termasuk harga kamar,harga,negatif
ramah senang pelayanan,pelayanan,positif
pelayanan luar_biasa cekatan,pelayanan,positif
menu sarapan diganti nasi_kotak tidak_pantas,sarapan,negatif
lift lama,fasilitas,negatif
amenities malah harus bayar,harga,negatif
sarapan hanya nasi_kotak,sarapan,negatif
keluar mencari makanan akses jalan jauh,lokasi,negatif
hotel berkelas sesuai harga,harga,positif
sarapan staff sesuai prokes,pelayanan,positif
bawa mobil bayar harga jaga,harga,negatif
tempat dekat indomaret,lokasi,positif
hanya kerupuk enak lainnya zonk,sarapan,negatif
staff ramah aspiratif,pelayanan,positif
kualitas sound system rusak membuat mood tidak_nyaman,fasilitas,negatif
strategis nyaman,lokasi,positif
pembersihan kamar harian tidak_ada,pelayanan,negatif
staff front_office tidak_senyum,pelayanan,negatif
petunjuk jalan tempat masuk tidak_terlihat,fasilitas,negatif
kamar seperti lama tidak_ditempati,kamar,negatif
kolam_renang hijau lumut tidak_terawat,fasilitas,negatif
akses jalan kecil,lokasi,negatif
harga tidak_kuras kantong,harga,positif
air_panas oke,kamar,positif
semua staff memiliki pelayanan baik semangat tinggi,pelayanan,positif
jalan masuk hotel kecil sulit,lokasi,negatif
rooftop juara waktu sunset bagus,fasilitas,positif
dikenakan tambahan_biaya tanpa_kasur tujuh_lima_ribu,harga,negatif
pelayanan staff oke,pelayanan,positif
bantal selimut banyak rambut,kamar,negatif
akses dekat monas plaza,lokasi,positif
checkin lama menunggu kamar dibersihkan,pelayanan,negatif
pass wifi tidak_diberi minta resepsionis,pelayanan,negatif
staff bodoh,pelayanan,negatif
hotel ada kolam pasir,fasilitas,positif
jalan menuju hotel tolong diperhalus,lokasi,negatif
sarapan ada menu dagingnya,sarapan,positif
hanya ada tempat_parkir outdoor,fasilitas,negatif
pelayanan staff hotel memuaskan,pelayanan,positif
banyak tempat foto instagrammable,fasilitas,positif
parkir motor sempit tidak_ada atap,fasilitas,negatif
hotel cukup murah terjangkau,harga,positif
akses enak,lokasi,positif
ada menu angkringan ronde bakar tertarik sate,sarapan,positif
akses menuju lokasi wisata jauh,lokasi,negatif
kolam kecil buruk,fasilitas,negatif
tempat olahraga bersih,fasilitas,positif
prokes baik handsanitizer dimana_mana,fasilitas,positif
kamar penataan baik dilengkapi peralatan masak,kamar,positif
tidak_ada pendingin ruangan,kamar,negatif
sempit jalurnya,lokasi,negatif
jalan menuju lokasi cukup berat menanjak atas,lokasi,negatif
petunjuk parkir tidak_jelas,fasilitas,negatif
kamar ada sofa panjang,kamar,positif
lokasi pinggir_jalan_utama,lokasi,positif
kasur kaki bawah mudah copot,kamar,negatif
tidak_ada saluran_tv anak,kamar,negatif
perjalanan bandara lama,lokasi,negatif
tidak_ada mobil golf,fasilitas,negatif
kamar_mandi toilet terpisah bagus,kamar,positif
kamar oke wangi,kamar,positif
harga tidak_sesuai ditawarkan,harga,negatif
checkin lancar cepat,pelayanan,positif
kebersihan balkon kamar_mandi harus ditingkatkan,kamar,negatif
pelayanan oke,pelayanan,positif
letak agak jauh jalan malioboro,lokasi,negatif
akses jalan menuju lokasi mohon perbaiki lagi,lokasi,negatif
ada nuansa tradisional,fasilitas,positif
ada balkon setiap kamar menghadap kolam_renang,kamar,positif
staff pelayanan tidak_sopan tidak_ajar,pelayanan,negatif
tempat_parkir kecil,fasilitas,negatif
tidak_ada tangga darurat,fasilitas,negatif
lokasi dekat resto hits,lokasi,positif
pemandangan sky bar cantik,fasilitas,positif
lokasi dekat pusat_kota,lokasi,positif
setiap tamu dimention nama merasa dihargai pihak staff hotel ramah membantu,pelayanan,positif
suara kamar tidak_kedap_suara sebelah terdengar,kamar,negatif
harga ramah_kantong didapat sesuai,harga,positif
menginap mendapat promo,harga,positif
amenities harus bayar tidak_gratis,harga,negatif
ada staff bantu mengarahkan tempat_parkir penuh,pelayanan,positif
mantap pelayanan nyaman,pelayanan,positif
alat_makan disuruh bayar,harga,negatif
hotel sesuai anggaran,harga,positif
kamar ada ruang_tamu sofa ruang_makan kulkas microwave cangkir teko,kamar,positif
koridor seperti kos,fasilitas,negatif
senang hotel nuansa alam rekomendasi,fasilitas,positif
debu jendela kamar,kamar,negatif
sarapan istri ditagih tambahan_biaya,harga,negatif
harga mahal tidak_termasuk sarapan,harga,negatif
pertama pelayanan awal kurang,pelayanan,negatif
tempat_parkir mobil tidak_ada sulit menurunkan barang,fasilitas,negatif
sarapan luar_biasa,sarapan,positif
lantai kamar licin seperti dipel detergen,kamar,negatif
pihak hotel memberi kompensasi upgrade_kamar,pelayanan,positif
makanan lauk sedikit,sarapan,negatif
kamar bersih harum,kamar,positif
sarapan variasi mantap rasa,sarapan,positif
menu tradisional jawa sunda,sarapan,positif
billiard murah mursidah,harga,positif
resepsionis bantu,pelayanan,positif
ranjang empuk,kamar,positif
lingkungan tentram,lokasi,negatif
sate enak,sarapan,positif
mendapat harga murah,harga,positif
hotel harga bersahabat,harga,positif
kamar hotel bersih kasur luas lapang fasilitas lengkap,kamar,positif
lebih diperhatikan kebersihan toilet dekat kolam_renang,fasilitas,negatif
sajian menu khas nusantara patut dipuji,sarapan,positif
cocok perjalan singkat minim anggaran,harga,positif
steak enak enak mantap,sarapan,positif
tidak_membuat kantong kering,harga,positif
hotel panas,fasilitas,negatif
kaget harus menambah harga sarapan,harga,negatif
denda gelas seratus_ribu,harga,negatif
lokasi pedesaan terisolasi jarang tempat hiburan sekitar hotel,lokasi,negatif
tisu kamar_mandi kamar habis,kamar,negatif
makanan minuman variasi ada alkohol non_alkohol,sarapan,positif
tidak_ada tv kamar_utama disayangkan,kamar,negatif
dekat stasiun terganggu bunyi kereta malam_hari,lokasi,negatif
kamar kena tarif deluxe ternyata diberi superior,harga,negatif
kunci kamar diberi satu,kamar,negatif
olahan menu makan_malam enak perpaduan tradisional modern,sarapan,positif
rasa masakan perlu diperhatikan tidak_rasa,sarapan,negatif
sarapan tidak_banget hanya nasi putih tahu sayur urap peyek,sarapan,negatif
harga pas sesuai backpacker,harga,positif
lokasi strategis banyak warung makan muslim sekitar harga murah,lokasi,positif
harga jual kamar hotel tinggi,harga,negatif
pelayanan tidak_menyenangkan tamu menunggu lama,pelayanan,negatif
pelayanan tempat_makanan baik,pelayanan,positif
lobi depan lift bocor,fasilitas,negatif
menu sarapan nasi_kuning porsi kecil,sarapan,negatif
kamar ditata efisien,kamar,positif
kasur hanya matras keras,kamar,negatif
interior mewah,fasilitas,positif
makanan tidak_ada kepastian bercampur halal non_halal,sarapan,negatif
tempat sarapan luas tersedia coffee_shop,sarapan,positif
letak hotel enak bukan_daerah macet,lokasi,positif
hotel tidak_ada genset,fasilitas,negatif
dekat ringroad dekat pasar prawitotaman dekat spbu masjid jogokaryan fenomenal,lokasi,positif
ada bar hadap kolam_renang cantik,fasilitas,positif
toilet driver hotel tidak_banyak,fasilitas,negatif
kamar_mandi tidak_nyaman bathtub bikin becek lantai,kamar,negatif
kamar lengkap balkon,kamar,positif
jogging_track dikelilingi lapangan golf,fasilitas,positif
rasa makanan biasa cenderung hambar tidak_ada rasa,sarapan,negatif
staff ramah informatif,pelayanan,positif
petunjuk arah kiblat kamar tidak_ada,kamar,negatif
kolam_renang luas ada kid_kolam_renang,fasilitas,positif
prokes setiap_jam ada penyemprotan khusus,fasilitas,positif
harga cenderung tinggi,harga,negatif
hotel bintang klasik elegan,fasilitas,positif
harga relatif mahal,harga,negatif
sarapan monoton,sarapan,negatif
tidak_ada staff menolong,pelayanan,negatif
sarapan seadanya,sarapan,negatif
suasana hotel tenang,lokasi,positif
oseng buntut rekomendasi,sarapan,positif
sarapan tidak_disiapkan alasan tidak_ada pesanan,pelayanan,negatif
banyak hiasan mural setiap kamar,kamar,positif
cari makanan sekitar hotel sulit,lokasi,negatif
ada staff hotel siap bantu vallet_parking,pelayanan,positif
ada jogging_track,fasilitas,positif
lokasi ujung masuk jalan kecil,lokasi,negatif
makanan kosong terlambat refill sarapan makan_siang,pelayanan,negatif
tidak_privasi terutama kamar_mandi,kamar,negatif
menu makanan cukup enak,sarapan,positif
makanan murah sekeliling hotel,lokasi,positif
aneh ramah seperti dipaksakan,pelayanan,negatif
keramahan staff baik,pelayanan,positif
makan tidak_prasmanan,sarapan,negatif
roti kukusnya enak,sarapan,positif
hotel klasik interior megah berasa royal,fasilitas,positif
checkin tidak_jelas antre panjang,pelayanan,negatif
akses kamar parkir agak sulit,fasilitas,negatif
kue makanan enak,sarapan,positif
lokasi masuk sulit bawa kendaraan,lokasi,negatif
lokasi masuk gang mobil sulit masuk bahkan naik taxi sulit masuk,lokasi,negatif
yoghurt tidak_segar,sarapan,negatif
dinding kamar lembab,kamar,negatif
kamar_mandi kran bocor kotor,kamar,negatif
melayani tidak_hati,pelayanan,negatif
pelayanan makan lama pesan gorengan satu jam,pelayanan,negatif
kolam_renang banyak kaporit,fasilitas,negatif
tidak_ada handuk,kamar,negatif
pulang ditagih parkir lima_ribu,harga,negatif
tempat strategis dalam kota jogja,lokasi,positif
hotel rekomendasi backpacker,harga,positif
kamar tidak_berkarpet,kamar,negatif
resepsionis lemot,pelayanan,negatif
ac kuno,kamar,negatif
tempat sendok garpu kotor kelihatan kotor,sarapan,negatif
ada kulkas water_heater lengkap kopi teh,kamar,positif
lampu dapur kamar rusak berkedip,kamar,negatif
sulit cari tempat,lokasi,negatif
makan_malam rooftop suasana romantis tenang,sarapan,positif
mbak mas ramah,pelayanan,positif
desain interior kamar bagus,kamar,positif
aktivitas anak hanya kolam_renang,fasilitas,negatif
harga kamar murah sesuai,harga,positif
desain hotel tidak_asal,fasilitas,positif
harga satu juta ekspektasi ada kelebihan lain,harga,negatif
satpam tidak_sigap tidak_bantu menyebrang jalan,pelayanan,negatif
harga terjangkau sesuai fasilitas berikan,harga,positif
wifi bisa lebih kencang,fasilitas,negatif
kamar luas living_room kasur terpisah,kamar,positif
jalan menuju lokasi batu kasar belum_aspal,lokasi,negatif
pelayanan oke mudah,pelayanan,positif
sarapan tinggal ambil sesuka hati,sarapan,positif
bingung masuk lokasi,lokasi,negatif
lokasi dekat jalan_utama,lokasi,positif
fasilitas lengkap terutama kolam_renang asri menjadi alasan utama orang tertarik menginap hotel,fasilitas,positif
tambah staff parkir basemant,pelayanan,negatif
cari lokasi perlu teliti,lokasi,negatif
ada spaghetti singapore keren,sarapan,positif
banyak pepohonan nuansa alami,fasilitas,positif
parkir motor jauh,fasilitas,negatif
kecewa teh panas tidak_enak,sarapan,negatif
nyaman dekat masjid jogokariyan,lokasi,positif
kolam_renang tidak_ada air_panas,fasilitas,negatif
kamar nyaman kamar_mandi bersih,kamar,positif
harga hotel tidak_pas kantong,harga,negatif
lift tidak_ada ac,fasilitas,negatif
prokes oke pas ada acara disana,fasilitas,positif
pilihan menu set american continental tradisional,sarapan,positif
lokasi dekat kuburan,lokasi,negatif
ada hair_dryer setrika,kamar,positif
lengkap pilihan jamu jamu segar,sarapan,positif
ac bocor bersuara keras,kamar,negatif
tidak_nyaman banyak kecoa kecil kecoa jerman lewat setiap_saat,kamar,negatif
lokasi pinggir_jalan mudah ditemukan,lokasi,positif
staff sigap ramah hangat menjadi kesan melekat,pelayanan,positif
akses pusat_kota arah lembang mudah,lokasi,positif
puas pelayanan,pelayanan,positif
sound_system aula bagus,fasilitas,positif
makanan rasa perlu tingkatkan,sarapan,negatif
bau kamar apek,kamar,negatif
sarapan variatif,sarapan,positif
pelayanan bisa bahasa inggris,pelayanan,positif
tempat bermain anak kurang,fasilitas,negatif
antre lama,pelayanan,negatif
hotel ada starbucks,fasilitas,positif
ada air_panas air_dingin,kamar,positif
kamar_mandi ada bercak lengket,kamar,negatif
kekurangan tidak_ada keset kamar_mandi,kamar,negatif
harga tidak_wajar,harga,negatif
ac model kuno panas shower jet rusak heater lama panas,kamar,negatif
citarasa makanan oke suka menu sego_luwuk,sarapan,positif
harga cukup rendah murah,harga,positif
tarif masih oke,harga,positif
tim teknis cepat memperbaiki,pelayanan,positif
lokasi nylempit,lokasi,negatif
lengkap ada banyak menu indonesia,sarapan,positif
lebih_baik hotel lain anggaran sama,harga,negatif
jalan hotel padat,lokasi,negatif
taman luas,fasilitas,positif
dekat tempat_wisata,lokasi,positif
staff keamanan tukang parkir tidak_menghormati tamu,pelayanan,negatif
jauh pusat keramaian malioboro,lokasi,negatif
harga murah tidak_mahal,harga,positif
akses masuk hotel sulit gang sempit hanya cukup satu mobil,lokasi,negatif
jarak dekat,lokasi,positif
staff penuh perhatian,pelayanan,positif
harga terbaik,harga,positif
kolam_renang bersih ramah_anak,fasilitas,positif
bell_boy tidak_ada,pelayanan,negatif
terletak jalan jogokaryan berada meter masjid jogokaryan terkenal,lokasi,positif
luas kamar bagus kelas delux kamar_mandi cukup,kamar,positif
makanan variasi sampai bingung ambil mana,sarapan,positif
menu sarapan biasa tidak_lengkap,sarapan,negatif
jauh kota tidak_bisa kemana_mana,lokasi,negatif
kamar disteril ditempel stiker segel,kamar,positif
makanan resto oke enak,sarapan,positif
ada handuk lap tangan,kamar,positif
kotor kamar tidak_dibersihkan bawah kasur banyak sampah,kamar,negatif
bapak satpam ramah,pelayanan,positif
keren harga segitu,harga,positif
staff responsif,pelayanan,positif
sarapan setengah_sembilan banyak makanan habis,sarapan,negatif
terletak tengaj perumahan aksesbilitas sulit,lokasi,negatif
mahal kelas hostel,harga,negatif
hair_dryer rental sewa bayar tiga_lima_ribu,harga,negatif
resepsionis sering tidak_ada,pelayanan,negatif
parkir mobil luas,fasilitas,positif
kamar bunyi tikus,kamar,negatif
wifi lemot tidak_bisa dipakai,fasilitas,negatif
tidak_ada lift harus manual naik tangga,fasilitas,negatif
makanan ada resto bervariasi,sarapan,positif
hanya sarapan tidak_enak,sarapan,negatif
shower berfungsi baik,kamar,positif
petunjuk jalan nama hotel kecil,fasilitas,negatif
hanya kolam_renang kecil,fasilitas,negatif
ruang sauna kecil campur cowok cewek,fasilitas,negatif
akses jalan sempit bawa mobil,lokasi,negatif
protokol covid diutamakan,fasilitas,positif
banyak spot foto,fasilitas,positif
dapat bathtub,kamar,positif
kolam_renang tidak_seperti bayangkan,fasilitas,negatif
sprei ada noda minyak,kamar,negatif
kamar wow bersih,kamar,positif
lokasi tidak_kondusif,lokasi,negatif
peralatan fitness center cukup lengkap,fasilitas,positif
pelayanan baik,pelayanan,positif
tidak_sesuai harga dibayar,harga,negatif
ac kamar rusak tidak_dingin,kamar,negatif
mudah cari makan luar banyak jual makanan,lokasi,positif
makanan enak bersih menu ganti setiap_hari,sarapan,positif
mendapat kamar pemandangan diinginkan,kamar,positif
hotel tua perlu renovasi,fasilitas,negatif
waktu takjil buka_puasa makanan tidak_banyak pilihan,sarapan,negatif
harga kamar ideal,harga,positif
makanan tidak_enak tidak_niat,sarapan,negatif
susu segar bau rasa basi,sarapan,negatif
pelayanan perlu ditingkatkan,pelayanan,negatif
lokasi baik suka foto,lokasi,positif
makanan enak super lengkap mulai makanan indonesia sampai mancanegara,sarapan,positif
awal datang resepsionis lama,pelayanan,negatif
kecil kolam,fasilitas,negatif
lokasi hotel gabung tempat perbelanjaan memberikan nilai_plus,lokasi,positif
deposit mahal lima_ratus_ribu,harga,negatif
sarapan oke harga segitu,sarapan,positif
sarapan mahal,harga,negatif
roti keras tidak_baru,sarapan,negatif
harga minimalis murah,harga,positif
agak jauh jalan ketika belanja,lokasi,negatif
akses menuju kamar harus jalan_kaki menanjak,lokasi,negatif
debu lampu tidur,kamar,negatif
area parkir terbatas mobil,fasilitas,negatif
tidak_maximal pelayanan,pelayanan,negatif
prokes masa pandemi dilakukan disiplin,pelayanan,positif
kasur tidak_diganti,kamar,negatif
